urun_adi,kimin için,ne için
0.50 Karat Pırlanta Lotus Yüzük,baban,söz-nişan-düğün
Miracle Pırlanta Baget Gerdanlık,kardeşin,söz-nişan-düğün
1.00 Karat Pırlantalı Suyolu Bileklik,kardeşin,söz-nişan-düğün
Miracle Pırlanta Baget Küpe,çocuğun,içimden geldi
Siyah Pırlanta Suyolu Bileklik,arkadaşın,söz-nişan-düğün
Sonsuzluk Dorika Y Kolye,baban,yeni iş/terfi
Sonsuz Mutluluk Düğümü Bileklik (Herakles),annen,yıl dönümü
Pırlantalı Siyah Elmas Yüzük,baban,geçmiş olsun
14 Ayar Dorika Altn Toplu Kolye,baban,yıl dönümü
Siyah Tektaş Pırlanta Yüzük,kardeşin,söz-nişan-düğün
Pırlanta Elmas Yüzük,annen,doğum günü
Unisex Siyah Pırlanta Suyolu Bileklik,arkadaşın,geçmiş olsun
Dünya Figürlü Altın Kolye,kardeşin,söz-nişan-düğün
Pırlanta Damla Miracle Yüzük,eşin,içimden geldi
0.17 Karat Damla Elmas Kolye,kardeşin,doğum günü
Pırlantalı Siyah Elmas Kolye,iş arkadaşın,yeni iş/terfi
Üç Sıra Dorika Toplu Altın Kolye,baban,içimden geldi
0.15 Karat Damla Elmas Yüzük,çocuğun,doğum günü
Kar Tanesi Mineli Altın Kolye,arkadaşın,yıl dönümü
Siyah Elmas Pırlantalı Yüzük,arkadaşın,geçmiş olsun
İtalyan Model Dorika Toplu Altın Kolye,annen,geçmiş olsun
Elmas Gül Sihirli Kolye,iş arkadaşın,geçmiş olsun
1.00 Ct Görünümlü Elmas 5 Taş Miracle Alyans,çocuğun,özür dilerim
Altın Harf Kolye,iş arkadaşın,geçmiş olsun
Damla Siyah Pırlanta Kolye,sevgilin,doğum günü
Damla Zümrütlü Elmas Kolye,kardeşin,söz-nişan-düğün
Çerçeveli Oval Kesim Siyah Pırlanta Yüzük,arkadaşın,yeni iş/terfi
14 Ayar Altın Ametist Kolye,arkadaşın,yıl dönümü
Oval Siyah Pırlanta Tektaş Yüzük,kardeşin,içimden geldi
14 Ayar Altın Plaka Kolye (Yazı Yazılabilir),çocuğun,içimden geldi
Pırlanta Elmas Kolye,kardeşin,yıl dönümü
Siyah Pırlanta Tektaş Kolye,annen,içimden geldi
Yusufçuk Altın Kolye,çocuğun,içimden geldi
Mutluluk Sembolü Altın Kolye (Nvame Nti),çocuğun,özür dilerim
Siyah Beyaz Pırlanta Fantezi Küpe,sevgilin,söz-nişan-düğün
14 Ayar Altın Şans Kolye,iş arkadaşın,söz-nişan-düğün
Siyah Pırlanta Altın Küpe,iş arkadaşın,söz-nişan-düğün
0.19 Karat Markiz Elmas Kolye,iş arkadaşın,geçmiş olsun
Siyah ve Beyaz Pırlanta Kolye,iş arkadaşın,özür dilerim
4 Element Sembolü Figür Altın Kolye,sevgilin,doğum günü
Elmas Sonsuzluk Kolye Methis,sevgilin,geçmiş olsun
Siyah ve Beyaz Pırlanta Yüzük,iş arkadaşın,özür dilerim
Şans Getiren Dostlar Altın Kolye,iş arkadaşın,geçmiş olsun
0.52 Karat Elmas Fantezi Kolye,eşin,yıl dönümü
